자치구,전체범죄,살인,강도,강간강제추행,절도,폭력,거래건수,매매가격중앙값,제곱미터당가격중앙값,인구수,전체범죄율,살인율,강도율,강간강제추행율,절도율,폭력율
종로구,2765,2,5,209,1183,1366,437,105000.0,1309.1,149608,184.82,0.13,0.33,13.97,79.07,91.31
중구,2955,5,5,177,1398,1370,825,107500.0,1418.1,131214,225.2,0.38,0.38,13.49,106.54,104.41
용산구,3322,10,4,267,1082,1959,1046,180000.0,2156.8,217194,152.95,0.46,0.18,12.29,49.82,90.2
성동구,2117,5,3,114,966,1029,2712,131500.0,1768.1,281289,75.26,0.18,0.11,4.05,34.34,36.58
광진구,2870,2,6,235,1320,1307,1343,119000.0,1579.7,348652,82.32,0.06,0.17,6.74,37.86,37.49
동대문구,3216,7,4,125,1617,1463,2348,80000.0,1124.8,358603,89.68,0.2,0.11,3.49,45.09,40.8
중랑구,3169,5,2,143,1437,1582,1492,60300.0,883.5,385349,82.24,0.13,0.05,3.71,37.29,41.05
성북구,2184,3,1,146,884,1150,2893,77000.0,1037.3,435037,50.2,0.07,0.02,3.36,20.32,26.43
강북구,2289,6,0,142,970,1171,857,62000.0,862.3,289374,79.1,0.21,0.0,4.91,33.52,40.47
도봉구,1741,7,0,73,800,861,1519,52500.0,739.4,306032,56.89,0.23,0.0,2.39,26.14,28.13
노원구,3101,7,3,146,1508,1437,3999,57000.0,951.1,496552,62.45,0.14,0.06,2.94,30.37,28.94
은평구,3217,9,1,132,1517,1558,1998,76000.0,1093.7,465350,69.13,0.19,0.02,2.84,32.6,33.48
서대문구,2054,3,0,131,1014,906,2180,89000.0,1268.3,318622,64.47,0.09,0.0,4.11,31.82,28.43
마포구,3891,4,4,503,1471,1909,2596,125000.0,1676.7,372745,104.39,0.11,0.11,13.49,39.46,51.21
양천구,3000,4,1,109,1518,1368,2470,110000.0,1396.4,434351,69.07,0.09,0.02,2.51,34.95,31.5
강서구,4008,5,6,271,1670,2056,2717,77100.0,1141.8,562194,71.29,0.09,0.11,4.82,29.71,36.57
구로구,3378,7,0,186,1572,1613,2190,65000.0,933.2,411916,82.01,0.17,0.0,4.52,38.16,39.16
금천구,2017,7,3,129,886,992,714,60000.0,821.4,239070,84.37,0.29,0.13,5.4,37.06,41.49
영등포구,4167,11,6,284,1791,2075,2854,104500.0,1409.3,397173,104.92,0.28,0.15,7.15,45.09,52.24
동작구,2454,1,1,180,1085,1187,2404,110000.0,1454.0,387352,63.35,0.03,0.03,4.65,28.01,30.64
관악구,4485,4,3,338,1971,2169,1457,75000.0,1008.3,495620,90.49,0.08,0.06,6.82,39.77,43.76
서초구,3788,10,5,364,1585,1824,2982,234000.0,2654.7,413076,91.7,0.24,0.12,8.81,38.37,44.16
강남구,6107,16,17,640,2097,3337,3584,224900.0,2766.3,563215,108.43,0.28,0.3,11.36,37.23,59.25
송파구,5174,6,3,315,2502,2348,4253,159000.0,1919.5,656310,78.83,0.09,0.05,4.8,38.12,35.78
강동구,3350,3,4,164,1662,1517,3304,105000.0,1436.8,481474,69.58,0.06,0.08,3.41,34.52,31.51
